en,es
I was prepared to do anything they asked me to do.,Yo estaba preparado para hacer cualquier cosa de lo que ellos me pidieran que hiciera.
It doesn't look like it's going to rain.,No parece que vaya a llover.
The results were outstanding.,Los resultados fueron sobresalientes.
Each person has his own way of doing things.,Cada uno tiene su forma de hacer las cosas.
Tom asked Mary about her life in Australia.,Tom le preguntó a Mary acerca de su vida en Australia.
Who's your favorite Disney character?,¿Cuál es su personaje de Disney preferido?
Tom glared at Mary.,Tom miraba a Mary con desagrado.
I think maybe that's all you have to do.,Creo que tal vez eso sea todo lo que tengan que hacer.
They waited for him for hours.,Le esperaron durante horas.
I want to know how you did it.,Quiero saber cómo lo hiciste.
Tom doesn't understand the situation.,Tom no entiende la situación.
You should know better.,Deberías saberlo mejor.
I am not Czech.,Yo no soy checo.
We have a little problem.,Tenemos un problemilla.
I saw a wonderful movie last night.,Anoche vi una película estupenda.
"My grandfather does moderate exercise every morning, which is why he is strong and healthy.","Mi abuelo hace ejercicio moderado todas las mañanas, que es por lo que está fuerte y sano."
We stopped along the way to have lunch.,Hicimos alto en el camino para almorzar.
That doesn't worry me at all.,Eso no representa la más mínima preocupación para mí.
One of us should talk to Tom.,Uno de nosotros debería hablar con Tom.
Take a card.,Saca una carta.
How do I get to Chinatown?,¿Cómo se va a Chinatown?
You are the best.,Usted es el mejor.
You really did it.,Lo hiciste de verdad.
I was very tired today.,Hoy estaba muy cansado.
Those aren't mine.,Esos no son los míos.
"Come on, give it to me.","Venga, dámelo."
"I thought we had eaten everything in the house, but I found another box of crackers.","Creí que habíamos comido todo lo que había en la casa, pero encontré otra caja de galletas."
I hope he hasn't had an accident.,Espero que no haya tenido un accidente.
You must not yield to temptation.,No debes ceder a la tentación.
How many more days are there until Christmas?,¿Cuántos días quedan para Navidad?
The poison spread through his whole body.,El veneno se extendió por todo su cuerpo.
The train pulled out exactly on time.,A la hora en punto el tren se puso en movimiento.
She is dieting.,Está a dieta.
Will you be ready to leave tomorrow?,¿Estarás listo para partir mañana?
It will take him two hours to finish the work.,Le tomará dos horas terminar el trabajo.
I don't speak Spanish.,No hablo español.
People sometimes compare death to sleep.,A veces la gente compara la muerte con el sueño.
Have you ever given money to a beggar?,¿Le has dado dinero a un mendigo alguna vez?
I feel sympathy for people with that disease.,Siento compasión por las personas con esa enfermedad.
This bread smells really good.,Este pan huele realmente bien.
My friend studies Korean.,Mi amigo estudia coreano.
"When I opened my eyes, I realized she was right by my side.",Al abrir los ojos me di cuenta que ella estaba justo al lado mío.
Can you get it repaired?,¿Tú puedes dejarlo reparado?
"This story is for adults, so children won't enjoy it.",Esta historia es para adultos. Los niños no la disfrutarán.
You didn't give me the correct change.,Se ha equivocado con el cambio.
There's something we have to do.,Hay algo que tenemos que hacer.
I am confident he will keep his promise.,Tengo fe en que él mantendrá su promesa.
He studies computational linguistics.,Él estudia lingüística computacional.
We can help Tom.,Podemos ayudar a Tom.
Tom is in his room.,Tom está en su habitación.
Tom is cruel.,Tom es cruel.
I missed you very much.,Te he echado mucho de menos.
I can't speak German.,No hablo alemán.
Life is full of secrets.,La vida tiene muchos secretos.
I wanted to remember.,Quería recordar.
He liked making decisions.,A él le gustaba tomar decisiones.
Do you think Tom talked to Mary?,¿Crees que Tom habló con Mary?
Do you often listen to audiobooks?,¿Escuchas con frecuencia audiolibros?
Why do you like Hawaii?,¿Por qué te gusta Hawái?
My luggage didn't arrive. What happened?,Mi equipaje no llegó. ¿Qué sucedió?
Father is coming home tomorrow.,Papá vuelve mañana.
Don't phone her now.,No la llames ahora.
I will definitely attend your funeral.,Yo definitivamente asistiré a tu funeral.
Soldiers must carry out their orders.,Los soldados deben cumplir sus órdenes.
Men are pigs.,Los hombres son cerdos.
I thought you were only angry with me and not with the rest of my family.,"Pensé que solo estabas enojado conmigo, y no con el resto de mi familia."
He is aware that the work is difficult.,Él tiene presente que el trabajo es difícil.
This is nonsense.,Eso es absurdo.
I'll give you either of these stamps.,Te daré cualquiera de estos sellos.
I can't afford a car.,No puedo permitirme un coche.
Young parents often indulge their children.,Los padres jóvenes a menudo consienten a sus hijos.
Tom is a retired policeman.,Tomás es un policía retirado.
It's very surprising.,Es muy sorprendente.
Tom did an outstanding job.,Tom hizo un trabajo sobresaliente.
We just want our share.,Queremos simplemente nuestra parte.
The chance is gone.,La oportunidad se fue.
Have you ever seen Buckingham Palace?,¿Alguna vez has visto Buckingham Palace?
He ridiculed my idea.,Él ridiculizó mi idea.
You must think this is funny.,Debe pensar que esto es divertido.
I intend to go there.,Pienso ir allí.
My father lives and works in Tokyo.,Mi padre vive y trabaja en Tokio.
My wife spends too much money on herself.,Mi mujer gasta demasiado dinero en sí misma.
No one lives in that building anymore.,En ese bloque ya no vive nadie.
All beginnings are difficult.,Todos los comienzos son difíciles.
She likes ice cream.,A ella le gustan los helados.
Tom doesn't trust Mary with his car.,Tom no se fía de Mary con su coche.
Those things disgust me.,Esas cosas me dan asco.
Life is short.,La vida es corta.
Do you want to know what I would say?,¿Quieres saber lo que yo diría?
Tom and Mary don't want children.,Tom y Mary no quieren tener hijos.
I got tired with the work.,Me cansé con el trabajo.
Where is the cafeteria?,¿Dónde está la cafetería?
He stayed at his aunt's house.,Él se quedó en casa de su tía.
I have to see this.,Tengo que ver esto.
I want a boat that will take me far away from here.,Quiero un barco que me lleve lejos de aquí.
I don't think many people can say they are satisfied with their salary.,No creo que muchas personas puedan decir que estén satisfechas con su salario.
He's good at flying kites.,Él es bueno elevando volantines.
Tom wants you to do him a favor.,Tom quiere que le hagas una gauchada.
Tom can't move.,Tom está paralizado.
It was a nightmare.,Fue una pesadilla.
"No matter how much I think about it, I can't understand it.",Sin importar cuánto piense en ello no lo entiendo.
Tom seems to be unreliable.,Tom parece poco fiable.
That movie theater always shows good movies.,En ese cine siempre dan buenas películas.
Is she staying at a hotel?,¿Ella se queda en un hotel?
You need us.,Nos necesitas.
Today is our last day of school.,Hoy es nuestro último día de clases.
I'm convinced that this job is perfect for you.,Estoy convencido de que este trabajo es perfecto para ti.
I made an appointment to see him at seven o'clock.,Me cité para verle a las siete en punto.
You don't need to do that.,No tenéis que hacer eso.
Tom began to look for a job three months before he graduated from college.,Tom comenzó a buscar trabajo tres meses antes de graduarse de la universidad.
Tom should have done things differently.,Tom debió haber hecho las cosas de otra forma.
He crept out of the room very carefully to avoid waking her up.,Salió sigilosamente de la habitación con mucho cuidado con el fin de evitar despertarla.
Tom says he can get you what you want.,Tom dice que puede conseguirte lo que quieres.
I like the way that smells.,Me gusta cómo huele.
My basket is under the table.,Mi canasto está debajo de la mesa.
This newspaper is free.,Este periódico es gratis.
Don't play in the street.,No jueges en la calle.
"Though the doctor did his best, the patient's recovery was slow.","Aunque el doctor hacía todo lo que podía, el paciente se recuperaba solo lentamente."
She carried a silk purse.,Llevaba una bolsa de seda.
That poor lady is disabled.,Esa pobre dama está discapacitada.
Tom doesn't want Mary to touch him.,Tom no quiere que Mary lo toque.
He considered his options carefully before deciding.,Él consideró cuidadosamente sus opciones antes de decidirse.
Who canceled?,¿Quién canceló?
I wish I'd met her.,Ojalá me hubiera encontrado con ella.
Tom told Mary that she could do whatever she liked.,Tom le dijo a Mary que podía hacer lo que sea que le gustara.
Tom didn't hear the rooster crow.,Tom no oyó el canto del gallo.
They will probably handle this well.,"De seguro, ellos van a manejar bien esto."
Let's take that chance.,Corramos ese riesgo.
It couldn't have come at a better time.,No pudo haber venido en un mejor momento.
I wasn't in your apartment.,No estaba en tu apartamento.
She gave me several books.,Ella me dio varios libros.
Tom wanted to study Japanese with a native Japanese speaker.,Tom quería estudiar japonés con un hablante nativo.
I'd like to make a suggestion.,Me gustaría hacer una sugerencia.
I phoned him.,Lo llamé.
This meat cuts easily.,Esta carne se corta con facilidad.
Can you get any closer?,¿Te puedes acercar más?
Tom is thirsty.,Tom tiene sed.
Tom goes to school five days a week.,Tom va a la escuela cinco días a la semana.
Tom was OK.,Tom estaba bien.
I just got my textbooks for this semester.,Acabo de recibir mis libros de texto para este semestre.
"One of the children is studying, but the others are playing.","Uno de los niños estudia, pero los otros juegan."
Where did you get all those keys?,¿Dónde obtuviste todas esas llaves?
The rabbit jumped over the dog.,El conejo saltó por encima del perro.
"I am being paranoid, aren't I?","¿Estoy siendo paranoico, no es así?"
Tom claims that he can read people's minds.,Tom sostiene que puede leer la mente.
The mountain peak was covered with snow.,La cima de la montaña estaba cubierta de nieve.
I'm wondering if I love him.,Me estoy preguntando si lo amo.
Japan is to the east of China.,Japón está al este de China.
They were wrong.,Ellas estaban equivocadas.
This surprised many people.,Esto sorprendió a muchas personas.
I called for help.,He pedido ayuda.
I like this office.,Me gusta esta oficina.
It began to rain before I got home.,Comenzó a llover antes de que yo llegara a casa.
I don't like to cook.,No me gusta cocinar.
"You don't talk much, do you?","Tú no hablas mucho, ¿verdad?"
I like to play poker.,Me gusta jugar al póquer.
We don't have tea.,No tenemos té.
The doctor took my pulse.,El médico me tomó el pulso.
This symbol stands for strength and integrity.,Este símbolo representa fuerza e integridad.
I keep my hammer in the toolbox.,Yo dejo mi martillo en la caja de herramientas.
I live on the first floor.,Vivo en el primer piso.
